id_abjad,id,id_band,nama_band,judul
1,55560,5881,3 Diva,A Lotta Love
1,55564,5883,30 Seconds To Mars,Attack
1,55354,5482,3doors Down,Away From The Sun Tab
1,55568,5886,9 Matahari,Bicara Tentang Kita
1,55562,5883,30 Seconds To Mars,Closer To The Edge
1,55570,5886,9 Matahari,Disini Adanya
1,55561,5882,3 Oh 3,Dont Trust Me
1,55565,5883,30 Seconds To Mars,From Yesterday
1,53750,5482,3doors Down,Here Without You
1,55573,5883,30 Seconds To Mars,Hurricane
1,53882,5522,8 Ball,Kenalan
1,55569,5886,9 Matahari,Mimpi
1,55571,5886,9 Matahari,Puisi 12
1,55563,5883,30 Seconds To Mars,The Kill
1,55567,5885,4 Non Blondes,Whats Up
2,8543,1470,Azra,41
2,7922,1416,Ataris,1 15 96
2,7886,1413,All American Rejects,1111 Pm
2,8665,1488,Alex Day,117 Complete
2,54790,5767,Away From Problems,12-Sep
2,42563,4739,Anies Fitria,14 Malam
2,41601,4432,Ainan Tasneem,150 Juta
2,5659,115,Avril Lavigne,17
2,7721,1404,Afi,17 Crimes
2,7953,1418,Alan Jackson,1976
2,7979,1421,Alexz Johnson,2:00 AM
2,8103,1430,Allister,2:00 AM
2,60326,6882,Alvi Ananta,2 Rupo
2,60048,6954,Anne Marie,2002
2,152,66,Andra And The Backbone,3 Keajaiban [Full Tab]
2,8390,1454,A Perfect Circle,3 Libras
2,8098,1428,Aimee Mann,31 Today
2,5692,113,Avenged Sevenfold,4 00 Am
2,5658,115,Avril Lavigne,4 Real
2,8273,1443,Amy Macdonald,4th Of July
2,7968,1418,Alan Jackson,5 Oclock Somewhere
2,8104,1430,Allister,5 Years
2,8487,1465,Aj Rafael,500 Days
2,7832,1410,Against Me,500 Years
2,60947,1491,Ariana Grande,7 Rings
2,8553,1471,Aaron Lewis,75
2,59094,6825,Alusty,80 Juta
2,7553,1400,Arctic Monkeys,A Certain Romance Acoustic
2,55586,5892,Artic Monkeys,A Certain Romans
2,7617,1401,All Time Low,A Daydream Away
2,8601,1478,Allstar Weekend,A Different Side Of Me
2,8344,1449,America,A Horse With No Name
2,7980,1421,Alexz Johnson,A Little Bit
2,8425,1459,Alabama,A Little More Time On You
2,5693,113,Avenged Sevenfold,A Little Peace Of Heaven
2,5694,113,Avenged Sevenfold,A Little Piece Of Heaven
2,7861,1412,Angels And Airwaves,A Littles Enough
2,8256,1442,Alison Krauss,A Living Prayer
2,8105,1430,Allister,A Lotta Nerve
2,7618,1401,All Time Low,A Love Like War
2,8074,1425,Alesana,A Lunatics Lament
2,7619,1401,All Time Low,A Party Song
2,7854,1411,Anberlin,A Perfect Tourniquet
2,8134,1431,Asking Alexandria,A Prophecy
2,8137,1431,Asking Alexandria,A Prophecy Acoustic
2,8387,1454,A Perfect Circle,A Stranger
2,8121,1430,Allister,A Study In Economics
2,8326,1447,Alicia Keys,A Womans Worth
2,60938,1468,Atif Aslam,Aadat
2,61262,5289,Arijit Singh,Aasan Nahi Yahan
2,60424,6854,Anggun Pramudita,Abang Lagi Dimana
2,57543,6242,Aliff Syukri feat Nur Shahida,Abang Nak Tegur 2 0
2,53328,4454,Ayu Soraya,Abang Sayang
2,60035,6951,Ai Khodijah,Abki Ala Syam
2,7913,1415,Arcade Fire,Abrahams Daughter
2,7901,1415,Arcade Fire,Abrahams Daughter Acoustic
2,7954,1418,Alan Jackson,Ace Of Hearts
2,7833,1410,Against Me,Ache With Me
2,5695,113,Avenged Sevenfold,Acid Rain
2,8284,1443,Amy Macdonald,Across The Nile
2,8657,1488,Alex Day,Across The Sea
2,8405,1456,Andrew Bird,Action Adventure
2,7620,1401,All Time Low,Actors
2,10,8,Acha dan Irwansyah,Ada Cinta
2,5585,9,Acha Septriasa,Ada Cinta
2,59751,107,Audy,Ada Kau Ibu
2,54986,98,Armada,Adam Hawa
2,52960,5281,Achik Spin,Adat Berkasih
2,42258,105,Astrid,Addicted
2,5676,46,Alter Bridge,Addicted To Pain Acoustic
2,8291,1444,Avicii,Addicted To You
2,54320,5663,Angelbert Rap,Ade Baju Biru
2,58946,6770,Anak Pramuka,Adek Berjilbab Coklat
2,5660,115,Avril Lavigne,Adia
2,7877,1413,All American Rejects,Affection
2,5696,113,Avenged Sevenfold,Afterlife
2,5697,113,Avenged Sevenfold,Afterlife Acoustic
2,8156,1434,Adam Lambert,Aftermath
2,5,2,Abdul,Agar Kau Mengerti
2,6,4,Abdul and The Coffee Theory,Agar Kau Mengerti
2,8381,1453,Apulanta,Aggressio
2,52301,1171,Al Ghazali,Ahmad Bersaudara Jika Kau Percaya
2,60936,1444,Avicii,Ain't A Thing
2,43720,1418,Alan Jackson,Aint Got Trouble Now
2,7887,1413,All American Rejects,Air
2,58688,4451,Asbak Band,Air Mata
2,59488,98,Armada,Air Mataku Bukan Untukmu
2,56530,5929,Alvina Farah,Ajak Aku Terbang
2,57,17,Adrian Martadinata,Ajari aku
2,51142,73,Anima,Ajari Aku
2,60517,7262,Aaliyah Massaid,Ajariku
2,18,11,Ada Band,Akal Sehat
2,4157,1182,Astoria,Akhir Yang Indah
2,58677,4451,Asbak Band,Akhiri Saja
2,41586,4425,Ade Putra,Aku Anak Desa
2,53803,105,Astrid,Aku Bisa Apa
2,58724,4451,Asbak Band,Aku Bukan Dia
2,51151,91,Ari Lasso,Aku Bukanlah Diriku
2,91,30,Ahmad Band,Aku Cinta Kau dan Dia
2,51119,31,Ahmad Dhani,Aku Cinta Kau dan Dia Dewa 19
2,256,94,Ari Lasso ft. Bunga Citra Lestari,Aku dan Dirimu
2,51157,91,Ari Lasso,Aku dan Dirimu
2,55918,4427,Adista,Aku Datang Untukmu
2,4360,1329,Asep Irama,Aku di Barat Engkau di Timur
2,51165,98,Armada,Aku Dia Kekasihmu
2,4362,1329,Asep Irama,Aku Dilahirkan Untuk Siapa
2,55068,5801,Ari Reda,Aku Ingin
2,59831,72,Angkasa,Aku Ini Siapa
2,130,51,Ammir,Aku Jatuh Cinta
2,115,40,Alexa Key,Aku Kangen Aku Rindu
2,60098,6990,Akim Stacy,Aku Kau Dan Muzik
2,51126,53,Anang,Aku Lelakimu
2,204,75,Anji,Aku Mau Putus
2,59510,75,Anji,Aku Percaya
2,4148,1174,Alika,Aku Pergi
2,60526,7270,Abah Lala,Aku Sing Berjuang
2,60576,7064,Aftershine,Aku Sing Lungo
2,41603,4432,Ainan Tasneem,Aku Suka Dia
2,41607,4435,Alda Risma,Aku Tak Biasa
2,52773,4445,Angkasa Band,Aku Tak Mau
2,56226,72,Angkasa,Aku Tak Mau
2,60260,7108,Ardhi,Aku Takut Mati
2,54640,4427,Adista,Aku Tau Siapa Diriku
2,54216,73,Anima,Aku Tercipta
2,55386,72,Angkasa,Akulah Yang Bisa
2,8426,1459,Alabama,Alabama Sky
2,52385,1328,Achmad Albar,Alam dan Penguasa
2,324,116,Ayu Ting Ting,Alamat Palsu
2,41656,4454,Ayu Soraya,Alang Alang Putih
2,61416,6954,Anne Marie,Alarm
2,7621,1401,All Time Low,Alejandro
2,55378,66,Andra And The Backbone,Alibi
2,56151,115,Avril Lavigne,Alice
2,5661,115,Avril Lavigne,Alice Underground
2,8339,1448,Augustana,Alive
2,61439,7498,Auburn,All About Him
2,8422,1457,Attack Attack,All Alone
2,7969,1418,Alan Jackson,All American Country Boy
2,5677,46,Alter Bridge,All Hope Is Gone
2,51079,1408,Adele,All I Ask
2,54056,5597,Adelle,All I Ask
2,8366,1452,Andrew Lloyd Webber,All I Ask Of You
2,8651,1487,Air,All I Need
2,7739,1405,A Day To Remember,All I Want
2,8547,1471,Aaron Lewis,All I Want
2,7727,1405,A Day To Remember,All I Want Acoustic
2,8493,1465,Aj Rafael,All I Want For Christmas Is You
2,7981,1421,Alexz Johnson,All In Disguise
2,8349,1449,America,All My Life
2,8477,1462,Amy Winehouse,All My Loving
2,8079,1427,Angus And Julia Stone,All Of Me
2,7680,1403,Alkaline Trio,All On Black
2,50953,4723,Air Supply,All Out Of Love
2,7740,1405,A Day To Remember,All Signs Point To Lauderdale
2,43539,1405,A Day To Remember,All Signs Point To Launderdale
2,7923,1416,Ataris,All Souls Day
2,7869,1412,Angels And Airwaves,All That We Are
2,8080,1427,Angus And Julia Stone,All The Colours
2,8036,1424,Andrew Jackson Jihad,All The Dead Kids Unicorn
2,61428,7496,All Sons And Daughters,All The Poor And Powerless
2,8106,1430,Allister,All We Needed
2,5662,115,Avril Lavigne,All You Will Never Know
2,55920,4427,Adista,Allah Maha Besar
2,58152,5317,Andrigo,Allahu Akbar
2,41608,4436,Allgeria,Allegria Ingat Cintaku
2,41609,4436,Allgeria,Allegria Kutunggu Dirimu
2,8636,1483,Acda En De Munnik,Alles Gaat Voorbij
2,316,113,Avenged Sevenfold,Almost Easy
2,5698,113,Avenged Sevenfold,Almost Easy Acoustic
2,8689,1491,Ariana Grande,Almost Is Never Enough
2,8561,1472,A Fine Frenzy,Almost Lover
2,8641,1483,Acda En De Munnik,Als Ze Lacht
2,8247,1441,Animal Collective,Also Frightened
2,8248,1441,Animal Collective,Alvin Row
2,8237,1441,Animal Collective,Amanita
2,57616,45,Alone At Last,Amarah Senyum Dan Airmata
2,61469,7512,Alex Goot,Amazed
2,52936,1406,Aerosmith,Amazing
2,5582,4,Abdul and The Coffee Theory,Amazing You
2,8345,1449,America,Amber Cascades
2,8076,1425,Alesana,Ambrosia
2,7982,1421,Alexz Johnson,American Dreamer
2,8436,1459,Alabama,American Pride
2,8059,1424,Andrew Jackson Jihad,American Tune
2,53838,1171,Al Ghazali,Amnesia
2,8393,1455,Aly And Aj,Amphetamine
2,260,98,Armada,Ampuni Aku
2,8609,1478,Allstar Weekend,Amy
2,8274,1443,Amy Macdonald,An Ordinary Life
2,56371,5572,Amtenar,Anak Pulau
2,61261,5272,Aimer,Anata Ni Deawanakereba
2,8087,1427,Angus And Julia Stone,And The Boys
2,42548,4726,Akim,and The Magistrate Potret Acoustic
2,56060,31,Ahmad Dhani,Andai Aku Bisa
2,55026,42,Alexandria,Andai Ku Jadi Dua
2,198,73,Anima,Andai saja
2,58338,5894,Arjuna,Andaikan Bisa
2,61303,5504,Asian Kung Fu Generation,Anemone No Saku Haru Ni
2,5665,36,Akon,Angel
2,8037,1424,Andrew Jackson Jihad,Angel Of Death
2,7938,1417,Abba,Angeleyes
2,8298,1445,Anathema,Angelica
2,8332,1448,Augustana,Angels
2,8427,1459,Alabama,Angels Among Us
2,289,100,Arwana,Angsa Putih
2,8529,1469,Athlete,Animations
2,8622,1481,Apo Hiking Society,Anna
2,8077,1425,Alesana,Annabel
2,8139,1432,A Rocket To The Moon,Annabelle
2,8413,1456,Andrew Bird,Anonanimal
2,8676,1489,Avantasia,Another Angel Down
2,8060,1424,Andrew Jackson Jihad,Another Beer
2,7955,1418,Alan Jackson,Another Good Reason Not To Drink
2,43657,1413,All American Rejects,Another Heart Calls
